Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43907,"5,760",344,40,17,"5,972.20",694.4,295.1
43908,"1,599",66,11,N/A,"4,127.60",687.9,N/A
43910,"3,208",231,39,15,"7,200.70","1,215.70",467.6
43912,"6,317",393,54,13,"6,221.30",854.8,205.8
43913,"1,596",82,13,6,"5,137.80",814.5,375.9
43914,194,12,N/A,N/A,"6,185.60",N/A,N/A
43915,"1,172",100,13,6,"8,532.40","1,109.20",511.9
43917,"3,380",147,34,6,"4,349.10","1,005.90",177.5
43920,"22,290","1,564",240,53,"7,016.60","1,076.70",237.8
43925,425,7,N/A,N/A,"1,647.10",N/A,N/A
43926,236,16,N/A,N/A,"6,779.70",N/A,N/A
43927,124,N/A,N/A,N/A,N/A,N/A,N/A
43928,21,N/A,N/A,N/A,N/A,N/A,N/A
43930,795,47,11,N/A,"5,911.90","1,383.60",N/A
43931,375,27,N/A,N/A,"7,200.00",N/A,N/A
43932,836,65,13,N/A,"7,775.10","1,555.00",N/A
43933,"1,875",109,25,5,"5,813.30","1,333.30",266.7
43934,466,21,9,N/A,"4,506.40","1,931.30",N/A
43935,"8,870",480,77,19,"5,411.50",868.1,214.2
43938,"5,320",325,52,14,"6,109.00",977.40,263.2
43939,439,24,5,N/A,"5,467.00","1,139.00",N/A
43940,102,23,8,N/A,"22,549.00","7,843.10",N/A
43942,"2,767",167,33,6,"6,035.40","1,192.60",216.8
43943,"3,029",230,42,7,"7,593.30","1,386.60",231.1
43944,"2,221",145,15,6,"6,528.60",675.4,270.1
43945,"3,189",111,17,N/A,"3,480.70",533.1,N/A
43946,"2,136",157,11,N/A,"7,350.20",515,N/A
43947,"5,297",456,50,10,"8,608.60",943.90,188.8
43948,586,23,N/A,N/A,"3,924.90",N/A,N/A
43950,"16,446","1,260",181,38,"7,661.40","1,100.60",231.1
43951,64,N/A,N/A,N/A,N/A,N/A,N/A
43952,"18,498","1,328",148,46,"7,179.20",800.1,248.7
43953,"11,656",896,94,31,"7,687.00",806.5,266
43961,363,23,N/A,N/A,"6,336.10",N/A,N/A
43962,92,N/A,N/A,N/A,N/A,N/A,N/A
43963,"1,385",90,19,7,"6,498.20","1,371.80",505.4
43964,"8,642",602,76,15,"6,966.00",879.4,173.6
43968,"6,212",485,68,21,"7,807.50","1,094.70",338.1
43970,80,N/A,N/A,N/A,N/A,N/A,N/A
43971,"1,100",62,14,6,"5,636.40","1,272.70",545.5
43972,121,N/A,N/A,N/A,N/A,N/A,N/A
43973,"2,281",86,14,6,"3,770.30",613.8,263
43974,75,N/A,N/A,N/A,N/A,N/A,N/A
43976,"1,661",182,14,7,"10,957.30",842.9,421.4
43977,"2,289",116,24,6,"5,067.70","1,048.50",262.1
43983,454,20,N/A,N/A,"4,405.30",N/A,N/A
